Object Detection,No. of Objects,Human Detection,No. of Humans,Fire Detection,Smoke Detection
Y,1,N,0,Y,Y
N,0,N,0,N,N
Y,13,N,0,Y,Y
N,0,N,0,N,Y
Y,2,N,0,Y,Y
N,0,Y,18,N,Y
Y,47,Y,15,Y,Y
N,0,N,0,Y,Y
Y,3,N,0,Y,Y
N,0,Y,3,N,Y
Y,75,N,0,Y,Y
N,0,Y,9,N,N
Y,4,N,0,Y,Y
Y,87,N,0,Y,Y
N,0,N,0,Y,Y
Y,5,N,0,Y,Y
N,0,Y,5,Y,Y
Y,9,Y,1,N,N
N,0,Y,2,Y,Y
Y,11,N,0,Y,Y
N,0,N,0,N,N
N,0,Y,20,Y,Y
Y,6,Y,29,Y,Y
Y,1,Y,6,Y,Y
Y,15,N,0,Y,Y
Y,7,N,0,Y,Y
Y,17,N,0,Y,Y
N,0,N,0,N,Y
Y,8,Y,15,N,N
N,0,N,0,Y,Y
Y,41,Y,14,N,N
N,0,Y,4,Y,Y
Y,9,Y,50,N,N
N,0,Y,40,N,N
Y,45,Y,30,N,N
N,0,Y,18,N,N
N,0,Y,18,N,N
Y,10,N,0,Y,Y
Y,59,N,0,Y,Y
N,0,N,0,Y,Y
Y,61,N,0,Y,Y
Y,6,N,0,N,N
N,0,N,0,N,Y
N,0,N,0,Y,Y
N,0,N,0,Y,Y
N,0,Y,2,Y,Y
N,0,Y,54,Y,Y
N,0,Y,5,N,N
Y,10,Y,31,N,Y
Y,4,N,0,Y,Y
Y,20,N,0,Y,Y
Y,30,N,0,Y,Y
N,0,N,0,Y,Y
N,0,N,0,N,Y
N,0,Y,15,N,N
N,0,N,0,Y,Y
N,0,Y,14,N,N
Y,12,Y,4,Y,Y
Y,9,Y,50,N,N
Y,3,Y,40,N,N
Y,45,Y,30,N,N
Y,44,Y,18,N,N
Y,52,Y,18,N,N
Y,10,N,0,Y,Y
Y,59,N,0,Y,Y
Y,5,N,0,Y,Y
Y,61,N,0,Y,Y
N,0,N,0,N,N
N,0,N,0,N,Y
N,0,N,0,Y,Y
N,0,N,0,Y,Y
Y,41,Y,2,Y,Y
Y,32,Y,54,Y,Y
Y,45,Y,5,N,N
Y,21,Y,31,N,Y
Y,4,N,0,Y,Y
N,0,N,0,Y,Y
N,0,N,0,Y,Y
N,0,N,0,Y,Y
Y,11,N,0,N,Y
Y,8,Y,15,N,N
Y,9,N,0,Y,Y
Y,5,Y,14,N,N
Y,44,Y,4,Y,Y
N,0,Y,50,N,N
N,0,Y,40,N,N
N,0,Y,30,N,N
N,0,Y,18,N,N
Y,45,Y,18,N,N
Y,10,N,0,Y,Y
Y,59,N,0,Y,Y
Y,3,N,0,Y,Y
Y,61,N,0,Y,Y
Y,6,N,0,N,N
N,0,N,0,N,Y
N,0,N,0,Y,Y
N,0,N,0,Y,Y
Y,21,Y,2,Y,Y
Y,11,Y,54,Y,Y
Y,5,Y,5,N,N
