Object Detection,No. of Objects,Human Detection,No. of Humans,Fire Detection,Smoke Detection
N,0,Y,18,Y,Y
Y,1,Y,15,Y,Y
N,0,N,0,Y,Y
Y,30,N,0,Y,Y
N,0,Y,3,Y,Y
Y,7,N,0,Y,Y
N,0,N,0,Y,Y
N,0,Y,20,N,Y
Y,60,Y,29,N,Y
Y,10,Y,6,N,Y
Y,1,N,0,Y,Y
Y,70,N,0,Y,Y
Y,40,N,0,N,Y
Y,2,N,0,Y,Y
Y,3,N,0,Y,Y
N,0,N,0,Y,Y
N,0,N,0,N,Y
N,0,N,0,Y,Y
Y,4,Y,2,Y,Y
Y,3,Y,54,Y,Y
Y,4,Y,5,N,N
Y,2,Y,31,N,Y
Y,40,N,0,Y,Y
N,0,Y,18,N,N
Y,4,Y,18,N,N
Y,1,N,0,Y,Y
Y,5,N,0,Y,Y
Y,30,N,0,Y,Y
Y,6,N,0,Y,Y
Y,60,N,0,Y,Y
N,0,Y,18,N,Y
Y,7,Y,15,Y,Y
N,0,N,0,Y,Y
Y,30,N,0,Y,Y
N,0,Y,3,N,Y
Y,7,N,0,Y,Y
N,0,N,0,N,N
N,0,Y,20,Y,Y
Y,60,Y,29,Y,Y
Y,10,Y,6,Y,Y
Y,1,N,0,N,Y
Y,70,N,0,N,Y
Y,40,N,0,N,Y
Y,2,N,0,N,Y
Y,3,N,0,Y,Y
N,0,N,0,Y,Y
N,0,N,0,N,Y
N,0,N,0,Y,Y
Y,4,Y,2,Y,Y
Y,2,Y,54,Y,Y
Y,4,Y,5,N,N
Y,3,Y,31,N,Y
Y,40,N,0,N,Y
N,0,Y,18,N,N
Y,4,Y,18,Y,Y
Y,1,N,0,N,Y
Y,9,N,0,Y,Y
Y,30,N,0,Y,Y
Y,7,N,0,Y,Y
Y,80,N,0,Y,N
N,0,Y,18,Y,Y
Y,11,Y,15,Y,Y
N,0,N,0,Y,Y
Y,30,N,0,Y,Y
N,0,Y,3,N,Y
Y,12,N,0,Y,Y
N,0,N,0,N,N
N,0,Y,20,Y,Y
Y,7,Y,29,Y,Y
Y,10,Y,6,Y,Y
Y,1,N,0,Y,Y
Y,70,N,0,Y,Y
Y,40,N,0,Y,Y
Y,2,N,0,Y,Y
Y,3,N,0,Y,Y
N,0,N,0,Y,Y
N,0,N,0,N,Y
N,0,N,0,N,Y
Y,4,Y,2,N,Y
Y,3,Y,54,N,Y
Y,4,Y,5,Y,Y
Y,3,Y,31,N,Y
Y,40,N,0,Y,Y
N,0,Y,18,N,N
Y,9,Y,18,Y,Y
Y,10,N,0,Y,Y
Y,6,N,0,Y,Y
Y,30,N,0,Y,Y
Y,7,N,0,Y,Y
Y,60,N,0,N,N
N,0,Y,18,N,Y
Y,11,Y,15,Y,Y
N,0,N,0,Y,Y
Y,30,N,0,Y,Y
N,0,Y,3,Y,Y
Y,7,N,0,Y,Y
N,0,N,0,Y,N
N,0,Y,20,Y,Y
Y,60,Y,29,Y,Y
Y,10,Y,6,Y,Y
