Object Detection,No. of Objects,Human Detection,No. of Humans,Fire Detection,Smoke Detection
Y,1,Y,5,N,Y
N,0,Y,4,N,N
Y,3,N,0,Y,Y
N,0,N,0,Y,Y
Y,5,N,0,Y,Y
N,0,N,0,Y,Y
Y,7,Y,2,N,N
N,0,Y,5,Y,Y
Y,9,Y,5,N,N
N,0,Y,7,Y,Y
Y,11,N,0,Y,Y
N,0,N,0,N,N
Y,13,N,0,Y,Y
N,0,N,0,N,N
Y,15,N,0,Y,Y
N,0,Y,8,Y,Y
Y,17,Y,9,Y,Y
N,0,Y,11,Y,Y
Y,19,Y,15,N,N
N,0,Y,20,N,N
Y,21,Y,18,N,Y
N,0,Y,1,N,Y
Y,23,N,0,Y,Y
N,0,Y,3,Y,Y
Y,25,Y,7,Y,Y
N,0,N,0,Y,Y
Y,27,Y,9,Y,Y
N,0,N,0,Y,Y
Y,29,N,0,N,N
N,0,N,0,N,N
Y,31,Y,6,N,N
N,0,Y,2,N,N
Y,33,N,0,Y,Y
N,0,N,0,N,N
Y,35,Y,11,Y,Y
N,0,Y,13,N,N
Y,37,Y,17,Y,Y
N,0,N,0,N,N
Y,39,Y,12,N,N
N,0,N,0,Y,Y
Y,41,Y,14,N,N
N,0,N,0,Y,Y
Y,43,Y,16,N,N
N,0,N,0,N,N
Y,45,N,0,N,N
N,0,Y,18,N,N
Y,47,Y,19,Y,Y
N,0,N,0,Y,Y
Y,49,N,0,Y,Y
N,0,N,0,Y,Y
Y,51,Y,3,Y,Y
N,0,Y,5,Y,Y
Y,53,Y,1,Y,Y
N,0,Y,10,N,N
Y,55,Y,11,N,Y
N,0,Y,16,N,N
Y,57,Y,18,N,Y
N,0,N,0,Y,Y
Y,59,N,0,Y,Y
N,0,N,0,Y,Y
Y,61,N,0,Y,Y
N,0,Y,11,N,N
Y,63,Y,16,N,N
N,0,Y,18,Y,Y
Y,65,N,0,Y,Y
N,0,N,0,N,N
Y,67,N,0,N,N
N,0,Y,9,Y,Y
Y,69,N,0,Y,Y
N,0,Y,7,N,N
Y,71,N,0,N,N
N,0,Y,5,Y,Y
Y,73,N,0,Y,Y
N,0,Y,3,N,N
Y,75,N,0,Y,Y
N,0,Y,9,N,N
Y,77,N,0,Y,Y
N,0,Y,8,Y,Y
Y,79,N,0,Y,Y
N,0,Y,3,N,N
Y,81,N,0,N,N
N,0,Y,2,Y,Y
Y,83,N,0,Y,Y
N,0,Y,1,Y,Y
Y,85,N,0,N,N
N,0,N,0,N,Y
Y,87,N,0,Y,Y
N,0,N,0,Y,Y
Y,89,N,0,Y,Y
N,0,Y,5,Y,Y
Y,91,N,0,N,N
N,0,N,0,Y,Y
Y,93,N,0,N,N
N,0,N,0,Y,Y
Y,95,Y,3,N,Y
N,0,Y,5,Y,Y
Y,97,Y,6,N,Y
N,0,N,0,Y,Y
Y,99,N,0,N,N
N,0,Y,8,N,N
